"tool_id","tool_slug","workflow_slug","is_primary"
"ca7821da-b916-476b-8d66-5a799bf8d688","meter-to-kilometer-converter","workflow-meter-to-kilometer-converter-standard","true"
"383546d9-7412-43ab-95fb-83a0ba4dfd95","kilogram-to-pound-converter","workflow-kilogram-to-pound-converter-standard","true"
"70cd947f-1cef-432d-a507-643801800d0a","price-with-vat-calculator","workflow-price-with-vat-calculator-standard","true"
"3c4f5fc3-feb3-45ee-b46c-a2188889a66b","pound-to-kilogram-converter","workflow-pound-to-kilogram-converter-standard","true"
"d897637d-35ea-4777-b4a2-ada6b204619b","celsius-to-fahrenheit-converter","workflow-celsius-to-fahrenheit-converter-standard","true"
"a975a2f3-2892-43b4-b490-484c12958fef","percentage-of-amount-calculator","workflow-percentage-of-amount-calculator-standard","true"
"5976604f-aa94-4d13-bfee-cd8fc3be7175","gpa-4-to-percentage-calculator","workflow-gpa-4-to-percentage-calculator-standard","true"
"b1d91949-0ff0-428d-b1be-d67dcd01b99f","percentage-change-calculator","workflow-percentage-change-calculator-standard","true"
"ee0e3060-f45c-4649-8196-8303ce624b0e","gpa-5-to-percentage-calculator","workflow-gpa-5-to-percentage-calculator-standard","true"
"0fc5f52f-e434-45b9-825d-8b67068b5b02","reverse-percentage-calculator","workflow-reverse-percentage-calculator-standard","true"
"70088491-c3d6-4ee7-981e-3487a5e23007","fahrenheit-to-celsius-converter","workflow-fahrenheit-to-celsius-converter-standard","true"
"303f2425-5c3b-43bc-aff8-4e7ee5dfb730","rectangle-area-calculator","workflow-rectangle-area-calculator-standard","true"
"f2fff8f7-a0af-47e0-98b1-91763f438588","land-share-area-calculator","workflow-land-share-area-calculator-standard","true"
"80652743-8a8a-4b26-ad6b-3a8495083e0a","box-volume-liter-calculator","workflow-box-volume-liter-calculator-standard","true"
"5baac051-f50b-4dc4-8093-19f3c40e284e","bmi-calculator","workflow-bmi-calculator-standard","true"
"af9a0497-e041-4569-97af-9621472efbad","daily-water-intake-calculator","workflow-daily-water-intake-calculator-standard","true"
"c1fbb0cf-9b54-408b-90a5-6c9461ef7c75","bmr-male-calculator","workflow-bmr-male-calculator-standard","true"
"50e6d184-61c7-4dc3-a7ca-8dcd16db165d","installment-calculator","workflow-installment-calculator-standard","true"
"e23a8576-f12c-4698-803c-a736dbcfb51e","loan-payment-calculator","workflow-loan-payment-calculator-standard","true"
"41ab7b99-442a-4df9-a29e-a0dc06d68ae2","savings-goal-calculator","workflow-savings-goal-calculator-standard","true"
