"workflow_slug","skill_slug","sort_order"
"workflow-lead-to-sale-rate-standard","skill-marketing-tools-calculation","10"
"workflow-lead-to-sale-rate-standard","skill-engine-formula","20"
"workflow-marketing-efficiency-ratio-standard","skill-marketing-tools-calculation","10"
"workflow-marketing-efficiency-ratio-standard","skill-engine-formula","20"
"workflow-ad-frequency-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-ad-frequency-calculator-standard","skill-engine-formula","20"
"workflow-landing-page-bounce-rate-standard","skill-marketing-tools-calculation","10"
"workflow-landing-page-bounce-rate-standard","skill-engine-formula","20"
"workflow-email-click-to-open-rate-standard","skill-marketing-tools-calculation","10"
"workflow-email-click-to-open-rate-standard","skill-engine-formula","20"
"workflow-unsubscribe-rate-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-unsubscribe-rate-calculator-standard","skill-engine-formula","20"
"workflow-repeat-purchase-rate-standard","skill-marketing-tools-calculation","10"
"workflow-repeat-purchase-rate-standard","skill-engine-formula","20"
"workflow-personal-savings-rate-standard","skill-finance-tools-calculation","10"
"workflow-personal-savings-rate-standard","skill-engine-formula","20"
"workflow-debt-service-ratio-standard","skill-finance-tools-calculation","10"
"workflow-debt-service-ratio-standard","skill-engine-formula","20"
"workflow-emergency-fund-months-standard","skill-finance-tools-calculation","10"
"workflow-emergency-fund-months-standard","skill-engine-formula","20"
"workflow-rule-of-72-calculator-standard","skill-finance-tools-calculation","10"
"workflow-rule-of-72-calculator-standard","skill-engine-formula","20"
"workflow-monthly-budget-surplus-standard","skill-finance-tools-calculation","10"
"workflow-monthly-budget-surplus-standard","skill-engine-formula","20"
"workflow-annual-expense-projection-standard","skill-finance-tools-calculation","10"
"workflow-annual-expense-projection-standard","skill-engine-formula","20"
"workflow-sinking-fund-contribution-standard","skill-finance-tools-calculation","10"
"workflow-sinking-fund-contribution-standard","skill-engine-formula","20"
"workflow-cash-runway-calculator-standard","skill-finance-tools-calculation","10"
"workflow-cash-runway-calculator-standard","skill-engine-formula","20"
"workflow-productivity-rate-calculator-standard","skill-general-tools-calculation","10"
"workflow-productivity-rate-calculator-standard","skill-engine-formula","20"
"workflow-task-completion-rate-standard","skill-general-tools-calculation","10"
"workflow-task-completion-rate-standard","skill-engine-formula","20"
"workflow-fuel-efficiency-calculator-standard","skill-general-tools-calculation","10"
"workflow-fuel-efficiency-calculator-standard","skill-engine-formula","20"
"workflow-electricity-usage-cost-standard","skill-general-tools-calculation","10"
"workflow-electricity-usage-cost-standard","skill-engine-formula","20"
"workflow-water-consumption-cost-standard","skill-general-tools-calculation","10"
"workflow-water-consumption-cost-standard","skill-engine-formula","20"
"workflow-unit-price-comparison-standard","skill-general-tools-calculation","10"
"workflow-unit-price-comparison-standard","skill-engine-formula","20"
"workflow-shared-expense-split-standard","skill-general-tools-calculation","10"
"workflow-shared-expense-split-standard","skill-engine-formula","20"
"workflow-millimeter-to-inch-converter-standard","skill-converter-tools-conversion","10"
"workflow-millimeter-to-inch-converter-standard","skill-engine-formula","20"
"workflow-inch-to-millimeter-converter-standard","skill-converter-tools-conversion","10"
"workflow-inch-to-millimeter-converter-standard","skill-engine-formula","20"
"workflow-liter-to-us-gallon-converter-standard","skill-converter-tools-conversion","10"
"workflow-liter-to-us-gallon-converter-standard","skill-engine-formula","20"
